"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Order","Family","Genus","Species","Bd_inhibition","change"
"a9a7d2b90c8a7957e5f27613c9de1f26",4.07818291087816,-5.41862853141097,2.12566912254708,0.0137235880073,"Firmicutes","Clostridia","Christensenellales","Christensenellaceae","","",NA,"Decrease"
"b9cd641fd427c278b2ae29a9edfbc3fd",4.01279774432738,-5.39433121497694,2.12006253614756,0.0138527116222083,"Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas","Methylomonas_sp.",NA,"Decrease"
"04bfa26b3209850428c4ae09b1d4f4b8",7.63659957224407,-6.3243474532347,2.49369490485739,0.0141262198067268,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","uncultured","",NA,"Decrease"
"ca04af74472ae45465b2bf15ccf076ce",5.35546939022319,-5.81189146234779,2.2944932683204,0.0141956021790116,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","alphaI_cluster","metagenome",NA,"Decrease"
"d72d042711dbdcf31d1af5868b0966e2",18.8573757362759,-4.40423226389782,1.74257346727224,0.014362595386032,"Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Arcicella","uncultured_bacterium",NA,"Decrease"
"fda1412a61d3c70b70e83ec5ec1cd528",5.2049227702294,-5.77107102088105,2.2849525328257,0.0143751937676396,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter","metagenome",NA,"Decrease"
"ad9e0017fee8f1eaaf3c142b2c9fa459",5.0373784942893,-5.72325782179465,2.30817947276024,0.0162435914098974,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia","",NA,"Decrease"
"d3abbf160e82ffb4a7b534199b3ed3f6",4.56336783148195,-5.58267821450795,2.27821838830621,0.0174762123732315,"Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","BSV13","",NA,"Decrease"
"a046edb519c4e3cbdf77ada497c4d743",76.1203458081661,-4.18235956041021,1.70609034646391,0.0174762123732315,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","",NA,"Decrease"
"1abb53dffc389ae3218acce6376fcc34",4.56200912097303,-5.58074209484066,2.2880421124069,0.01796361505746,"Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","uncultured_bacterium",NA,"Decrease"
"1f775ee0e29537aab6ea5f9826a3a0a6",4.36102217866999,-5.51679707228167,2.28799352558952,0.0193211701157642,"Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","uncultured","uncultured_cyanobacterium",NA,"Decrease"
"cc60312357314937af544b9333c06feb",4.00152854527138,-5.39328858466548,2.27202086982221,0.021309828724673,"Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","","ns","Decrease"
"1b3ab31378bec1762458af796e6f4b08",3.84179631620453,-5.33409366803614,2.26884242497692,0.0225700398555092,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","",NA,"Decrease"
"aa1087482a5bd53ec4580a739d282d60",3.84153380498277,-5.33399613843132,2.27422499601426,0.0228222014140616,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella_putrefaciens",NA,"Decrease"
"748aa96566432f729b92580e09349ce9",4.60117324674992,-5.59448659372062,2.4541303403066,0.027067479354512,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Variovorax_paradoxus",NA,"Decrease"
"b8df5774c0bb56187236143e5d7bd380",24.1627827659401,-3.20163625376022,1.41251498617192,0.0278948505708635,"Bacteroidota","Bacteroidia","Bacteroidales","","","",NA,"Decrease"
"e492e61105f5ddfd0111676d207ce5cb",4.50969674250194,-4.89186266253655,2.18091530356544,0.0295443597083976,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","","",NA,"Decrease"
"e62191d7248021dcf4aef21a13359a55",4.28169274139553,-5.48884328619621,2.45649931287935,0.0300929344594554,"Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus","metagenome",NA,"Decrease"
"e9b6a17a2f0695a2111337841021a8d8",3.87094518191628,-5.34388066558917,2.45146970964679,0.0343327223439187,"Actinobacteriota","Acidimicrobiia","Microtrichales","uncultured","uncultured","",NA,"Decrease"
"5dd9b4c4fb4de32a93a6e834dde0faa2",3.74691870830742,-5.29780117595663,2.44653985418031,0.035472401615445,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Rurimicrobium","uncultured_bacterium",NA,"Decrease"
"c39ea129388a077989abed2081b5fe88",25.2659914895946,-1.79020936486805,0.831116024851303,0.0363689742547354,"Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella","uncultured_bacterium",NA,"Decrease"
"7d2c0bf77d1048b740a0eb47b3f80c23",6.38582779055189,-6.06614373523793,2.88937943813994,0.0411763253195033,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","","","inhibitory","Decrease"
"ad3621ae5e4f411bed9160f97996cdb4",4.6362068864739,-5.60364868964043,2.6654073709877,0.0411763253195033,"Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Lamprocystis","Lamprocystis_purpurea",NA,"Decrease"
"649f2efd13df2dff8125deb6f1a44f58",89.3914285307973,-1.6710778772316,0.806930056498049,0.0439926933691652,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","",NA,"Decrease"
"c0997e0878c134708b5e61fa3dd0cace",6.08566746572735,-5.99669395937496,2.92268352194492,0.0459114883037337,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","","",NA,"Decrease"
