"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Order","Family","Genus","Species","Bd_inhibition","change"
"fbfb69032bce060bcbccdcbc0b5a7b2e",3620.95999415857,4.37039510534092,0.981240967631937,3.9673403870669e-05,"Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Nevskia","uncultured_bacterium",NA,"Increase"
"5afee2e7e16ac57a0f0b894c0a52aa81",11950.7157129331,4.40649553589923,0.998896291308829,4.65152952746133e-05,"Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Nevskia","",NA,"Increase"
"3accfd6f1b545ed5f7500a7f5a17636d",125.769929591392,4.89710525364677,1.23799158500584,0.000310436063552874,"Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","uncultured_bacterium",NA,"Increase"
"8b8f62746b56aafe0c51d5713204adde",110.06179224232,8.3735704850237,2.22323147728361,0.000602257911480721,"Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Hydrocarboniphaga","uncultured_bacterium",NA,"Increase"
"fca1ed7792b0c80cd00c60203ba400e8",42.7604218162915,6.44173994770716,1.73117024354421,0.000690122637435943,"Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium_aquatile",NA,"Increase"
"52a6da9b993cdf8b44cbdbd9d86657a6",59.7313509747006,4.07724254766296,1.20472047013262,0.00211368565525185,"Myxococcota","Polyangia","Nannocystales","Nannocystaceae","Nannocystis","uncultured_Myxococcales",NA,"Increase"
"ad72127c01dac114c005c83404612b5d",51.3980164434822,3.90433916694645,1.16600392519045,0.0023428301113617,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","","ns","Increase"
"3dbf66ee7707a9c91038139380697b07",12.0840834826847,5.62787297358595,1.71281035880028,0.00283841590386632,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_anguilliseptica",NA,"Increase"
"dfdaf52db0c945f03f32a278f5bb7a62",11.6090678585367,6.14215394011183,1.89702021216444,0.00321224665312496,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Sphingopyxis_sp.",NA,"Increase"
"b185474a58ab7f644252271d266a730d",9.58708894787434,6.71987772242671,2.08576933672128,0.00335998728898796,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Edaphobaculum","",NA,"Increase"
"c58e5bf355be030d93e26cfa7e766dab",12.2400990240841,7.07179660130137,2.23158252630889,0.00382463125680728,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","","","inhibitory","Increase"
"3e6ed11dba3266973529e728a20bf957",8.99391359923458,6.6275424898635,2.20548593498127,0.00569053248690538,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","","",NA,"Increase"
"8523f8f3dbc4ce355238e3dcffe73caf",6.43543332208567,6.14403917533448,2.05090729364581,0.00581428787702143,"Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","uncultured","metagenome",NA,"Increase"
"c4c8fca0e69e298376d4dd487d43733e",67.8174100950238,4.94792281880913,1.68208408195846,0.00664233347420414,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","",NA,"Increase"
"e416d0916760d2fc17b616e2ac3ad855",884.223904728922,2.05773487263439,0.721493230358064,0.00834014352645484,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera","uncultured_bacterium",NA,"Increase"
"887a96a5ea8890f2592a0fd3e5933b0d",13.3919784746887,4.835706843134,1.73024159327993,0.00981340463534436,"Myxococcota","Polyangia","Blfdi19","Blfdi19","Blfdi19","uncultured_bacterium",NA,"Increase"
"435fd033e4772ad97cecd035c9aceba5",7.46570705451921,6.3587578032594,2.36709156444355,0.0131353740213063,"Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","uncultured_bacterium",NA,"Increase"
"8f71a7b9dc989c5b4688583a2111651f",10.032068257724,3.61975710324322,1.35138987986309,0.0133431051704491,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","",NA,"Increase"
"bcba47620c299fd34809f143e3d26dff",4.98281282806669,5.77657771909042,2.16575114430842,0.0136973866346567,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","","ns","Increase"
"0866acfdebde7c80cdb63b297c774958",3.823847659135,5.39425044474711,2.13805055453588,0.0188702124777828,"Bacteroidota","Kapabacteria","Kapabacteriales","Kapabacteriales","Kapabacteriales","uncultured_bacterium",NA,"Increase"
"e73fd3a8e69bacb87efec068596af9a0",85.6264484621873,5.12650991371797,2.05579847788993,0.0199618992098181,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","","",NA,"Increase"
"31c51c7cfd98f27206b360d393dd2948",7.13223736839387,6.29307821356914,2.52846504918632,0.0199701244061741,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","","",NA,"Increase"
"5fb61a61dce165d42d137f5260e7b0c8",6.48216406108187,6.15487823402612,2.54243575736544,0.0233404760401513,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","",NA,"Increase"
"cf447d0a179fa9408a8adb7a829d767e",10.8300711952887,5.16322548930545,2.19875027196551,0.0272698155859455,"Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","",NA,"Increase"
